,title,date,album,lyrics
106,Good Morning Good Morning,"May 26, 1967",Sgt. Pepper’s Lonely Hearts Club Band,"

[Intro]
Good morning, good morning
Good morning, good morning
Good morning

[Verse 1]
Nothing to do to save his life, call his wife in
Nothing to say but what a day, how's your boy been?
Nothing to do, it's up to you
I've got nothing to say but it's okay

[Chorus]
Good morning, good morning
Good morning

[Verse 2]
Going to work, don't want to go, feeling low down
Heading for home, you start to roam, then you're in town

[Bridge 1]
Everybody knows there's nothing doing
Everything is closed, it's like a ruin
Everyone you see is half asleep
And you're on your own, you're in the street

[Verse 3]
After a while you start to smile, now you feel cool
Then you decide to take a walk by the old school
Nothing has changed, it's still the same
I've got nothing to say but it's okay

[Chorus]
Good morning, good morning
Good morning

[Guitar Solo]

[Bridge 2]
People running round, it's five o'clock
Everywhere in town it's getting dark
Everyone you see is full of life
It's time for tea and Meet the Wife

[Verse 5]
Somebody needs to know the time, glad that I'm here
Watching the skirts, you start to flirt, now you're in gear
Go to a show, you hope she goes
I've got nothing to say, but it's okay

[Chorus]
Good morning, good morning
Good...

[Outro]
Good morning, good morning, good
Good morning, good morning, good
Good morning, good morning, good
Good morning, good morning, good

Guten Morgen, guten Morgen, gut
Guten Morgen, guten Morgen, gut
Guten Morgen, guten Morgen, gut
Guten Morgen, guten Morgen, gut (Ja! Ja!)

Guten Morgen, guten Morgen, gut (Ja!)
Guten Morgen, guten Morgen, gut (Gewözei teuer)
Guten Morgen, guten Morgen, good morning

"
107,Hey Bulldog,"January 13, 1969",Yellow Submarine,"

[Verse 1: John Lennon & Paul McCartney]
Sheepdog
Standing in the rain
Bullfrog
Doing it again
Some kind of happiness is measured out in miles
What makes you think you're something special when you smile?

[Verse 2: John Lennon & Paul McCartney]
Child-like
No one understands
Jack knife
In your sweaty hands
Some kind of innocence is measured out in years
You don't know what it's like to listen to your fears

[Chorus: John Lennon]
You can talk to me
You can talk to me
You can talk to me
If you're lonely you can talk to me

[Verse 3: John Lennon, Paul McCartney & Ringo Starr]
Big man (Yeah)
Walking in the park
Wigwam
Frightened of the dark
Some kind of solitude is measured out in you
You think you know me but you haven't got a clue

[Chorus: John Lennon]
You can talk to me
You can talk to me
You can talk to me
If you're lonely you can talk to me

[Bridge: John Lennon & Paul McCartney]
Wahoo woof! Woof!
Hey bulldog! Hey bulldog!
Hey bulldog! Hey bulldog!

[Speech: John Lennon]
Hey man, what's that boy?
Woof!
What do you say?
I said ""woof!""
You know anymore?
Wooaah ha ha ha!
You've got it, that's it, you had it!
That's it, man, woo!
That's it! You've got it!
Don't look at me man, I only have ten children
Ah ho! Ha ha ha ha ha ha!
Quiet boy, quiet!
Okay
Quiet!

[Outro: John Lennon & Paul McCartney]
Hey bulldog!
Hey bulldog!

"
108,I’m Looking Through You,"December 3, 1965",Rubber Soul (UK),"

[Verse 1]
I'm looking through you, where did you go?
I thought I knew you, what did I know?
You don't look different, but you have changed
I'm looking through you, you're not the same

[Verse 2]
Your lips are moving, I cannot hear
Your voice is soothing, but the words aren't clear
You don't sound different, I've learned the game
I'm looking through you, you're not the same

[Bridge]
Why, tell me why, did you not treat me right?
Love has a nasty habit of disappearing overnight

[Verse 3]
You're thinking of me, the same old way
You were above me, but not today
The only difference is you're down there
I'm looking through you, and you're nowhere

[Bridge]
Why, tell me why, did you not treat me right?
Love has a nasty habit of disappearing overnight

[Verse 4]
I'm looking through you, where did you go?
I thought I knew you, what did I know?
You don't look different, but you have changed
I'm looking through you, you're not the same

[Outro]
Yeah, oh, baby, you've changed
Ah, I'm looking through you
Yeah, I'm looking through you
You changed, you changed, you changed, you changed

"
109,I’ve Just Seen a Face,"August 6, 1965",Help! (UK),"

[Verse 1]
I've just seen a face I can't forget the time or place
Where we just met, she's just the girl for me
And I want all the world to see we've met
Mmm-mmm-mmm-m'mmm-mmm

[Verse 2]
Had it been another day I might have looked the other way
And I'd have never been aware
But as it is I'll dream of her tonight
Di-di-di-di'n'di

[Chorus]
Fallin', yes I am fallin'
And she keeps callin' me back again

[Verse 3]
I have never known the like of this I've been alone
And I have missed things and kept out of sight
But other girls were never quite like this
Da-da-n'da-da'n'da

[Chorus]
Fallin', yes I am fallin'
And she keeps callin' me back again

[Guitar Solo]

[Chorus]
Fallin', yes I am fallin'
And she keeps callin' me back again

[Verse 1]
I've just seen a face I can't forget the time or place
Where we just met, she's just the girl for me
And I want all the world to see we've met
Mmm-mmm-mmm-da-da-da

[Chorus]
Fallin', yes I am fallin'
And she keeps callin' me back again
Fallin', yes I am fallin'
And she keeps callin' me back again

[Outro]
Oh, fallin', yes I am fallin'
And she keeps callin' me back again

"
110,Love You To,"August 5, 1966",Revolver (UK),"

[Intro]

[Verse 1]
Each day just goes so fast
I turn around, it's past
You don't get time to hang a sign on me

[Refrain 1]
Love me while you can
Before I'm a dead old man

[Verse 2]
A lifetime is so short
A new one can't be bought
But what you've got means such a lot to me

[Refrain 2]
Make love all day long
Make love singing songs

[Interlude]

[Refrain 2]
Make love all day long
Make love singing songs

[Verse 3]
There's people standing round
Who'll screw you in the ground
They'll fill you in with all their sins you'll see

[Refrain 3]
I'll make love to you
If you want me to

"
111,Blue Jay Way,"November 27, 1967",Magical Mystery Tour (US),"

[Verse 1]
There's a fog upon L.A
And my friends have lost their way
""We'll be over soon,"" they said
Now, they've lost themselves instead

[Chorus]
Please, don't be long
Please, don't you be very long
Please, don't be long
For I may be asleep

[Verse 2]
Well, it only goes to show
And I told them where to go
Ask a policeman on the street
There's so many there to meet

[Chorus]
Please, don't be long (Don't be long)
Please, don't you be very long (Don't be long)
Please, don't be long
Or I may be asleep

[Verse 3]
Now, it's past my bed I know (Know)
And I'd really like to go (Go)
Soon will be the break of day (Day)
Sitting here in Blue Jay Way (Way)

[Chorus]
Please, don't be long
Please, don't you be very long
Please, don't be long
Or I may be asleep
Please, don't be long
Please, don't you be very long
Please, don't be long
Please, don't be long
Please, don't you be very long
Please, don't be long
Please, don't be long
Please, don't you be very long
Please, don't be long

[Outro]
Don't be long, don't be long
Don't be long, don't be long
Don't be long, don't be long
Don't be long, don't be long

"
112,Why Don’t We Do It in the Road?,"November 22, 1968",The Beatles (The White Album),"

[Verse 1]
Why don't we d-do it in the road?
Why don't we do it in the road?
Why don't we do it in the road?
Why don't we do it in the road
No one will be watching us
Why don't we do it in the road?

[Verse 2]
Why don't we do it in the road?
Why don't we do it in the road?
Why don't we do it in the road?
Why don't we do it in the road?
No one will be watching us
Why don't we do it in the road?

[Verse 3]
Why don't we do it in the road?
Why don't we do it in the road?
Why don't we d-do it, do it in the road?
Why don't we do it in the road?
No one will be watching us
Why don't we do it in the road?

"
113,I’ll Follow the Sun,"December 4, 1964",Beatles for Sale,"

[Verse 1]
One day, you'll look to see I've gone
For tomorrow may rain, so I'll follow the sun

[Verse 2]
Some day, you'll know I was the one
But tomorrow may rain, so I'll follow the sun

[Bridge]
And now the time has come
And so, my love, I must go
And though I lose a friend
In the end, you will know
Oh-oh-oh

[Verse 3]
One day, you'll find that I have gone
But tomorrow may rain, so I'll follow the sun

[Solo]

Yeah, tomorrow may rain, so I'll follow the sun

[Bridge]
And now the time has come
And so, my love, I must go
And though I lose a friend
In the end, you will know
Oh-oh-oh

[Verse 3]
One day, you'll find that I have gone
But tomorrow may rain, so I'll follow the sun

"
114,"Baby, You’re a Rich Man","July 7, 1967",Magical Mystery Tour (US),"

[Verse 1]
How does it feel to be one of the beautiful people?
Now that you know who you are
What do you want to be?
And have you traveled very far?
Far as the eye can see

[Verse 2]
How does it feel to be one of the beautiful people?
How often have you been there?
Often enough to know
What did you see when you were there?
Nothing that doesn't show

[Chorus]
Baby, you're a rich man
Baby, you're a rich man
Baby, you're a rich man, too
You keep all your money in a big brown bag inside a zoo
What a thing to do
Baby, you're a rich man
Baby, you're a rich man
Baby, you're a rich man, too

[Verse 3]
How does it feel to be one of the beautiful people?
Tuned to a natural E
Happy to be that way
Now that you've found another key
What are you going to play?

[Chorus]
Baby, you're a rich man
Baby, you're a rich man
Baby, you're a rich man, too
You keep all your money in a big brown bag inside a zoo
What a thing to do
Baby, baby, you're a rich man
Baby, you're a rich man
Baby, you're a rich man, too
Oh, baby, you're a rich man
Baby, you're a rich man
Baby, baby you're a rich man, too

"
115,Cry Baby Cry,"November 22, 1968",The Beatles (The White Album),"

[Intro]
Cry baby cry
Make your mother sigh
She's old enough to know better

[Verse 1]
The king of Marigold was in the kitchen
Cooking breakfast for the queen
The queen was in the parlour
Playing piano for the children of the king

[Chorus]
Cry baby cry
Make your mother sigh
She's old enough to know better
So cry baby cry

[Verse 2]
The king was in the garden
Picking flowers for a friend who came to play
The queen was in the playroom
Painting pictures for the children's holiday

[Chorus]
Cry baby cry
Make your mother sigh
She's old enough to know better
So cry baby cry

[Verse 3]
The duchess of Kircaldy always smiling
And arriving late for tea
The duke was having problems
With a message at the local Bird and Bee

[Chorus]
Cry baby cry
Make your mother sigh
She's old enough to know better
So cry baby cry

[Verse 4]
At twelve o'clock a meeting round the table
For a seance in the dark
With voices out of nowhere
Put on specially by the children for a lark

[Chorus]
Cry baby cry
Make your mother sigh
She's old enough to know better
So cry baby cry

Cry cry cry baby
Make your mother sigh
She's old enough to know better
So cry baby cry

[Outro]
Can you take me back where I came from?
Can you take me back?
Can you take me back where I came from?
Brother, can you take me back?
Can you take me back?
Mm, can you take me where I came from?
Can you take me back?

"
116,Do You Want to Know a Secret,"March 22, 1963",Please Please Me,"

[Intro]
You'll never know how much I really love you
You'll never know how much I really care

[Verse]
Listen
Do you want to know a secret?
Do you promise not to tell? Whoa oh, oh
Closer
Let me whisper in your ear
Say the words you long to hear
I'm in love with you, ooh

[Verse]
Listen (Do da do)
Do you want to know a secret? (Do da do)
Do you promise not to tell? (Do da do) Whoa oh, oh
Closer (Do da do)
Let me whisper in your ear (Do da do)
Say the words you long to hear
I'm in love with you, ooh

[Bridge]
I've known the secret for a week or two
Nobody knows, just we two

[Verse]
Listen (Do da do)
Do you want to know a secret? (Do da do)
Do you promise not to tell? (Do da do) Whoa oh, oh
Closer (Do da do)
Let me whisper in your ear (Do da do)
Say the words you long to hear
I'm in love with you, ooh
Ooh

"
117,Paperback Writer,"May 30, 1966",Hey Jude,"

[Intro: Paul McCartney, John Lennon & George Harrison]
Paperback writer (writer, writer)

[Verse 1: Paul McCartney, McCartney & Lennon  & Harrison]
Dear Sir or Madam, will you read my book?
It took me years to write, will you take a look?
It's based on a novel by a man named Lear
And I need a job, so I want to be a paperback writer
Paperback writer!

[Verse 2: Paul McCartney, McCartney & Lennon  & Harrison]
It's a dirty story of a dirty man
And his clinging wife doesn't understand
His son is working for the Daily Mail
It's a steady job, but he wants to be a paperback writer
Paperback writer!

[Chorus: Paul McCartney, John Lennon & George Harrison]
Paperback writer (writer, writer)

[Verse 3: Paul McCartney, (Lennon & Harrison), McCartney & Lennon  & Harrison]
It's a thousand pages, give or take a few (Frère)
I'll be writing more in a week or two (Jacques)
I could make it longer if you like the style (Frère)
I can change it 'round and I want to be a paperback writer (Jacques)
Paperback writer!

[Verse 4: Paul McCartney, (Lennon & Harrison), McCartney & Lennon  & Harrison]
If you really like it, you can have the rights (Frère)
It could make a million for you overnight (Jacques)
If you must return it, you can send it here (Frère)
But I need a break, and I want to be a paperback writer (Jacques)
Paperback writer!

[Chorus: Paul McCartney, John Lennon & George Harrison]
Paperback writer (writer, writer)

[Outro: Paul McCartney, John Lennon & George Harrison]
Paperback writer, paperback writer
Paperback writer, paperback writer
Paperback writer, paperback writer
Paperback writer, paperback writer

"
